original_tag,division,question_id,has_reasoning,has_final,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,reasoning_budget_hit,finish_reason,near_generation_cap,near_context_limit,loop_candidate,confirmed_loop,clean_final,gen_t_s,pp_t_s,wall_ms
B,general,G16,yes,yes,81,4817,4898,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.6,72.88,114268.8
B,general,G17,yes,yes,122,4297,4419,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.35,91.03,102936.3
B,general,G18,yes,yes,104,4721,4825,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.02,86.37,113742.3
B,cyber,C1,yes,yes,106,1990,2096,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.7,24.45,50959.6
B,cyber,C2,yes,yes,151,1169,1320,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,43.19,110.32,28515.6
B,cyber,C3,yes,yes,113,1914,2027,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.93,88.37,45940.8
B,cyber,C4,yes,yes,117,1461,1578,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.63,76.85,35990.2
B,cyber,C5,yes,yes,112,2658,2770,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.69,89.56,63607.9
B,cyber,C6,yes,yes,273,4694,4967,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.49,154.89,112349.0
B,cyber,C7,yes,yes,119,2938,3057,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,42.52,88.1,70555.9
B,cyber,C8,yes,yes,100,8092,8192,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,yes,yes,yes,no,no,44.09,52.58,185557.3
B,cyber,C9,yes,yes,99,8093,8192,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,yes,yes,yes,yes,no,39.76,83.19,204992.0
B,cyber,C10,yes,yes,111,1430,1541,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,40.02,80.54,37302.0
B,cyber,C11,yes,yes,74,1436,1510,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,36.16,57.5,41125.8
B,cyber,C12,yes,yes,102,1233,1335,NA_NOT_STORED,UNKNOWN,NA_NOT_STORED,no,no,no,no,yes,39.79,74.18,32550.4
